Newcastle City Council Invoices over £250 paid in April 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ABBEYMOOR,6217865,Revenue,1MM20,Ind Res Care MH,"4,000.00 "
Adult and Culture,AS - Learning City         ,Supplies & Services,08/04/2014,ABC AWARDS,6193665,Revenue,1EA15,Newcastle City Learning,272.00 
Adult and Culture,AS - Learning City         ,Supplies & Services,08/04/2014,ABC AWARDS,6193666,Revenue,1EA15,Newcastle City Learning,265.50 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22/04/2014,ABIGAIL HOUSE,6217866,Revenue,1MG20,Ind Res Care Elderly,"-11,083.10 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ABIGAIL HOUSE,6217866,Revenue,1MG20,Ind Res Care Elderly,"40,661.30 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",15/04/2014,ACCEPT CARE,6214159,Revenue,1MK51,Ind Home-Per Care LD,-290.96 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,ACCEPT CARE,6214159,Revenue,1MK50,Ind Supported Living LD,"1,817.20 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,ACCEPT CARE,6214159,Revenue,1MK51,Ind Home-Per Care LD,"4,906.44 "
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,25/04/2014,ACCESS INDEPENDENT,6217924,Revenue,1V123,Blue Badge Applications,"1,080.50 "
Environment & Regeneration,NS: Resources              ,Supplies & Services,15/04/2014,ACP,6208717,Revenue,1KSCD,External Vehicle Tracking,"3,949.00 "
Environment & Regeneration,NS: Resources              ,Supplies & Services,15/04/2014,ACP,6208719,Revenue,1KSCD,External Vehicle Tracking,"2,630.00 "
Environment & Regeneration,NS: Resources              ,Supplies & Services,15/04/2014,ACP,6208719,Revenue,1KSCD,External Vehicle Tracking,"1,176.50 "
Environment & Regeneration,NS: Resources              ,Supplies & Services,24/04/2014,ACP,6215716,Revenue,1KSCD,External Vehicle Tracking,"1,193.39 "
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,14/04/2014,ACROL AIR CONDITIONING CO LTD,6211743,Revenue,1KKX1,Civic Centre Direct Costs,"2,775.64 "
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,03/04/2014,ACROL AIR CONDITIONING CO LTD,6126911,Revenue,1KKX1,Civic Centre Direct Costs,"1,383.00 "
Environment & Regeneration,NS: Asset Man              ,Premises,15/04/2014,ACROL AIR CONDITIONING CO LTD,6212972,Revenue,1KL2B,Eldon Leisure,329.00 
Environment & Regeneration,NS: Asset Man              ,Premises,15/04/2014,ACROL AIR CONDITIONING CO LTD,6212988,Revenue,1KKX1,Civic Centre Direct Costs,"2,162.71 "
Environment & Regeneration,NS: Asset Man              ,Premises,15/04/2014,ACROL AIR CONDITIONING CO LTD,6213339,Revenue,1KL2B,Eldon Leisure,402.60 
Chief Executive's,CD - Revenues & Benefits         ,Supplies & Services,10/04/2014,ACS LTD,6209504,Revenue,1CS10,Business Systems,"1,050.00 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,25/04/2014,ACTION BUILDING MAINTENANCE LTD,6220893,Revenue,1KVWC,Minor Works Contracts,638.60 
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,04/04/2014,ACTION BUILDING MAINTENANCE LTD,6202213,Revenue,1KARC,Rechargeables Central,994.84 
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/04/2014,ACTION FOR CHILDREN,6205764,Revenue,1MC22,IND Sector Foster Carer Costs,"7,896.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/04/2014,ACTION FOR CHILDREN,6205764,Revenue,1MC22,IND Sector Foster Carer Costs,"6,560.00 "
Children's Services,Int Childhood Services     ,Third Party Payments,29/04/2014,ACTION FOR CHILDREN,6223246,Revenue,1EEM6,Woodlands Children's Centre,"10,000.00 "
Children's Services,Childrens Services Support       ,Third Party Payments,15/04/2014,ACTION FOR CHILDREN,6212994,Revenue,1MB04,Childrens Standards Unit,"2,222.19 "
Children's Services,Educ School Planning    ,Third Party Payments,04/04/2014,ACTION FOR CHILDREN,6202111,Revenue,1MF12,Adoption Interagency,"1,194.00 "
Children's Services,Educ School Planning    ,Transport,14/04/2014,ACTION FOR CHILDREN,6208073,Revenue,1MC22,IND Sector Foster Carer Costs,352.09 
Children's Services,Childrens Services Support       ,Supplies & Services,10/04/2014,ACTION ON HEARING LOSS,6208722,Revenue,1EEP1,Short Breaks,510.57 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08/04/2014,ACTIVE HORIZONS LTD,6206830,Revenue,1MG20,Ind Res Care Elderly,-488.45 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08/04/2014,ACTIVE HORIZONS LTD,6206830,Revenue,1MG20,Ind Res Care Elderly,"1,648.00 "
Children's Services,Childrens Services Support       ,Transfer Payments,28/04/2014,ACTIVE TRAVEL,6203910,Revenue,1E+212,Transport Special,"1,900.00 "
Children's Services,Childrens Services Support       ,Transfer Payments,28/04/2014,ACTIVE TRAVEL,6203911,Revenue,1E+212,Transport Special,"2,040.00 "
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,30/04/2014,ADARE LTD,6227151,Revenue,1FK03,Municipal Elections,"47,375.25 "
Environment & Regeneration,NS: District Heating       ,Supplies & Services,08/04/2014,ADC ELECTRICAL CO LTD(F),6203687,Revenue,1KR8E,Build Surv Team,293.66 
Environment & Regeneration,NS: District Heating       ,Supplies & Services,10/04/2014,ADC ELECTRICAL CO LTD(F),6208752,Revenue,1KR8E,Build Surv Team,263.54 
Environment & Regeneration,NS: District Heating       ,Supplies & Services,10/04/2014,ADC ELECTRICAL CO LTD(F),6208755,Revenue,1KR8L,Wide District Heating,434.29 
Children's Services,Childrens Services Support       ,Third Party Payments,17/04/2014,ADOPTION UK,6216627,Revenue,1MF12,Adoption Interagency,527.75 
Children's Services,Childrens Services Support       ,Third Party Payments,17/04/2014,ADOPTION UK,6216604,Revenue,1MF12,Adoption Interagency,550.00 
Children's Services,Childrens Services Support       ,Third Party Payments,17/04/2014,ADOPTION UK,6216615,Revenue,1MF12,Adoption Interagency,435.00 
Children's Services,Childrens Services Support       ,Third Party Payments,17/04/2014,ADOPTION UK,6216620,Revenue,1MF12,Adoption Interagency,435.00 
Children's Services,Educ Fossway S/Start       ,Premises,29/04/2014,ADT FIRE & SECURITY,6223183,Revenue,1EEE1,East CC Central Costs,258.00 
Environment & Regeneration,NS: Asset Man              ,Premises,08/04/2014,ADT FIRE & SECURITY,6195991,Revenue,1FRA3,CSC Denton,277.00 
Environment & Regeneration,NS: Asset Man              ,Premises,10/04/2014,ADT FIRE & SECURITY,6208677,Revenue,1VH22,Temporary Accommodation Prem,517.72 
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,17/04/2014,ADVANCED CALIBRATIONS LTD,6216607,Revenue,1KTDX,Architecture Building Design,342.00 
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/04/2014,ADVANCED CHILDCARE GROUP,6205775,Revenue,1MC02,Ind Sector Placements,"12,540.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/04/2014,ADVANCED CHILDCARE GROUP,6205776,Revenue,1MC02,Ind Sector Placements,"12,000.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/04/2014,ADVANCED CHILDCARE GROUP,6205778,Revenue,1MC02,Ind Sector Placements,"12,540.00 "
Environment & Regeneration,EEC Housing                ,Premises,09/04/2014,ADVANCED CLEANING & MAINTENANCE LTD,6188862,Revenue,1D568,Work in Default Recoverable,"1,547.00 "
Environment & Regeneration,EEC Housing             ,"Sales, Fees & Charges",04/04/2014,ADVANCED CLEANING & MAINTENANCE LTD,6197325,Revenue,1D563,Housing Management Orders,700.00 
Environment & Regeneration,NS: District Heating       ,Premises,29/04/2014,ADVANCED WATER TECHNOLOGIES,6225595,Revenue,1KR05,District Heating,"1,365.00 "
Environment & Regeneration,NS: District Heating       ,Supplies & Services,15/04/2014,ADVANCED WATER TECHNOLOGIES,6161055,Revenue,1KR8L,Wide District Heating,"3,261.12 "
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/04/2014,AEBI SCHMIDT UK LTD,6216712,Revenue,3KES1,Fleetmaster Stores Account,165.30 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/04/2014,AEBI SCHMIDT UK LTD,6223698,Revenue,3KES1,Fleetmaster Stores Account,256.08 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/04/2014,AEBI SCHMIDT UK LTD,6223699,Revenue,3KES1,Fleetmaster Stores Account,575.35 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/04/2014,AEBI SCHMIDT UK LTD,6223700,Revenue,3KES1,Fleetmaster Stores Account,510.60 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,09/04/2014,AEBI SCHMIDT UK LTD,6191897,Revenue,3KES1,Fleetmaster Stores Account,692.01 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,11/04/2014,AEBI SCHMIDT UK LTD,6196791,Revenue,3KES1,Fleetmaster Stores Account,14.93 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,11/04/2014,AEBI SCHMIDT UK LTD,6196791,Revenue,3KES1,Fleetmaster Stores Account,335.84 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,01/04/2014,AEBI SCHMIDT UK LTD,6191896,Revenue,3KES1,Fleetmaster Stores Account,283.94 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/04/2014,AEBI SCHMIDT UK LTD,6216712,Revenue,3KES1,Fleetmaster Stores Account,94.98 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/04/2014,AEBI SCHMIDT UK LTD,6223699,Revenue,3KES1,Fleetmaster Stores Account,149.80 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28/04/2014,AEBI SCHMIDT UK LTD,6223700,Revenue,3KES1,Fleetmaster Stores Account,32.33 
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,15/04/2014,AECOM,6206463,Revenue,1V046,Freight Partnership,"6,090.00 "
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,30/04/2014,AECOM,6223285,Revenue,1V046,Freight Partnership,"21,951.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,24/04/2014,AGD SYSTEMS LTD,6220911,Revenue,1KELA,Traffic Sig General O/H,30.00 
Environment & Regeneration,Highways                               ,Supplies & Services,24/04/2014,AGD SYSTEMS LTD,6220911,Revenue,3KIMF,Highways Stock Account,"7,840.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215340,Revenue,1KELA,Traffic Sig General O/H,135.00 
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215340,Revenue,3KIMF,Highways Stock Account,"10,615.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215341,Revenue,1KELA,Traffic Sig General O/H,30.00 
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215341,Revenue,3KIMF,Highways Stock Account,"7,360.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215342,Revenue,1KELA,Traffic Sig General O/H,30.00 
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215342,Revenue,3KIMF,Highways Stock Account,"3,040.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215357,Revenue,1KELA,Traffic Sig General O/H,75.00 
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215357,Revenue,3KIMF,Highways Stock Account,"6,375.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215358,Revenue,1KELA,Traffic Sig General O/H,45.00 
Environment & Regeneration,Highways                               ,Supplies & Services,16/04/2014,AGD SYSTEMS LTD,6215358,Revenue,3KIMF,Highways Stock Account,"11,040.00 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,03/04/2014,AGE UK NEWCASTLE,6202991,Revenue,1MG50,Ind Home Spot Pur Elderly,661.78 
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6207003,Revenue,1MH50,Ind Home Spot Pur PD,"6,562.46 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6207086,Revenue,1MH50,Ind Home Spot Pur PD,"1,711.62 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6207087,Revenue,1MH50,Ind Home Spot Pur PD,"1,369.20 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6207553,Revenue,1MH50,Ind Home Spot Pur PD,"5,273.33 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6207554,Revenue,1MH50,Ind Home Spot Pur PD,"1,665.88 "
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6207958,Revenue,1MH50,Ind Home Spot Pur PD,273.84 
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6207559,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 "
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/04/2014,AGE UK NEWCASTLE,6210618,Revenue,1MG55,Extra Care Housing,"20,682.38 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,15/04/2014,AGE UK NEWCASTLE,6213409,Revenue,1MG60,Ind Day Care Elderly,"1,150.76 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,15/04/2014,AGE UK NEWCASTLE,6213409,Revenue,1MG88,Get Up And Go Older People,"1,489.93 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,15/04/2014,AGE UK NEWCASTLE,6213409,Revenue,1MG60,Ind Day Care Elderly,"8,459.10 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,15/04/2014,AGE UK NEWCASTLE,6213409,Revenue,1FA23,Support To Elders Council,"4,865.77 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,17/04/2014,AGE UK NEWCASTLE,6216824,Revenue,1MG60,Ind Day Care Elderly,"20,698.16 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,17/04/2014,AGE UK NEWCASTLE,6216824,Revenue,1MG88,Get Up And Go Older People,"3,209.08 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,17/04/2014,AGE UK NEWCASTLE,6216824,Revenue,1FA23,Support To Elders Council,"10,480.12 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MG51,Ind Home Per Care Elderly,"10,852.17 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MH50,Ind Home Spot Pur PD,275.71 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MK51,Ind Home-Per Care LD,66.00 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MM50,Ind Home - Spot Pur MH,49.50 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MG51,Ind Home Per Care Elderly,"42,831.51 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MH50,Ind Home Spot Pur PD,"4,600.51 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MK51,Ind Home-Per Care LD,352.00 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,1MM50,Ind Home - Spot Pur MH,"1,149.50 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214130,Revenue,3WH96,Continuing Care-Dom Payments,994.26 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214141,Revenue,1MG50,Ind Home Spot Pur Elderly,"1,498.60 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214141,Revenue,1MH50,Ind Home Spot Pur PD,"10,667.20 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,AGE UK NEWCASTLE,6214141,Revenue,1MM50,Ind Home - Spot Pur MH,212.40 
Environment & Regeneration,NS: Asset Man              ,Premises,16/04/2014,AIR TECHNIQUE,6215679,Revenue,1FRAA,Westgate,296.00 
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,09/04/2014,AIRBORNE ENVIRONMENTAL CONSULTANTS,6208185,Revenue,1KR01,R & M Trading,592.50 
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,07/04/2014,AK CHILDCARE LTD,6205779,Revenue,1MC02,Ind Sector Placements,"11,200.00 "
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/04/2014,AKW MEDI-CARE LTD,6208723,Revenue,1KBAA,Building Contracts,547.20 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,09/04/2014,AKW MEDI-CARE LTD,6192565,Revenue,3KIMD,Other Stores Stock Account,402.00 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,22/04/2014,AKW MEDI-CARE LTD,6213050,Revenue,1KBAA,Building Contracts,452.66 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,11/04/2014,AKW MEDI-CARE LTD,6209999,Revenue,1KBAA,Building Contracts,300.64 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/04/2014,AKW MEDI-CARE LTD,6215480,Revenue,1KBAA,Building Contracts,329.33 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/04/2014,AKW MEDI-CARE LTD,6215482,Revenue,1KBAA,Building Contracts,518.42 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/04/2014,AKW MEDI-CARE LTD,6215483,Revenue,1KBAA,Building Contracts,308.68 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/04/2014,AKW MEDI-CARE LTD,6215480,Revenue,1KBAA,Building Contracts,209.74 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,04/04/2014,AKW MEDI-CARE LTD,6191648,Revenue,1KBAA,Building Contracts,321.29 
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,29/04/2014,AKW MEDI-CARE LTD,6219449,Revenue,1KBAA,Building Contracts,369.95 
Environment & Regeneration,E&R Parking Services       ,Premises,03/04/2014,ALAN CARR DESIGN & PRINT,6203060,Revenue,1V204,Car Parking Infrastructure,"1,035.00 "
Environment & Regeneration,E&R Parking Services       ,Premises,03/04/2014,ALAN CARR DESIGN & PRINT,6203061,Revenue,1V204,Car Parking Infrastructure,624.00 
Environment & Regeneration,E&R Parking Services       ,Premises,07/04/2014,ALAN CARR DESIGN & PRINT,6203052,Revenue,1V204,Car Parking Infrastructure,"2,600.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ALBANY HOUSE  (WHITLEY BAY),6217867,Revenue,1MM20,Ind Res Care MH,"4,793.36 "
Adult and Culture,Adult Serv Finance         ,Capital Expenditure,04/04/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6203636,Capital,2WW01,Adult And Culture Capital,398.00 
Adult and Culture,EEC Homeless               ,Supplies & Services,03/04/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6175519,Revenue,1VH22,Temporary Accommodation Prem,675.00 
Adult and Culture,EEC Homeless               ,Supplies & Services,04/04/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6203619,Revenue,1VH22,Temporary Accommodation Prem,345.00 
Adult and Culture,AS - Learning City         ,Supplies & Services,22/04/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6215520,Revenue,1EA15,Newcastle City Learning,506.00 
Children's Services,Educ Newbiggin S/Start     ,Supplies & Services,17/04/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6215479,Revenue,1EEJ7,Newburn Childrens Centre,948.00 
Children's Services,Educ Newbiggin S/Start     ,Supplies & Services,16/04/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6192249,Revenue,1EEJ7,Newburn Childrens Centre,"10,973.00 "
Environment & Regeneration,NS: Repairs & Maintenance  ,Supplies & Services,30/04/2014,ALBANY OFFICE FURNITURE SOLUTIONS,6160937,Revenue,1KR1W,Response West,695.00 
Adult and Culture,Social Services-Care Support           ,Third Party Payments,17/04/2014,ALBERT KENNEDY TRUST OUTPOST,6216827,Revenue,1MX50,SP Block Gross,"5,582.92 "
Environment & Regeneration,Fleet Management System                ,Supplies & Services,01/04/2014,ALEXANDER DENNIS LTD,6196773,Revenue,1KESB,Heavy Workshop Code 5 Repairs,993.13 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ALEXANDRA PARK,6217911,Revenue,1MM20,Ind Res Care MH,"8,262.96 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22/04/2014,ALLAN COURT RESIDENTIAL HOME,6217921,Revenue,1MG10,Ind Nursing Care Elderly,"-8,321.44 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",22/04/2014,ALLAN COURT RESIDENTIAL HOME,6217921,Revenue,1MG20,Ind Res Care Elderly,"-3,190.40 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ALLAN COURT RESIDENTIAL HOME,6217921,Revenue,1MG10,Ind Nursing Care Elderly,"51,248.90 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ALLAN COURT RESIDENTIAL HOME,6217921,Revenue,1MG20,Ind Res Care Elderly,"15,026.64 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ALLAN COURT RESIDENTIAL HOME,6217921,Revenue,1MM20,Ind Res Care MH,"1,952.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,22/04/2014,ALLAN COURT RESIDENTIAL HOME,6217936,Revenue,1MG10,Ind Nursing Care Elderly,443.40 
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,14/04/2014,ALLIANCE DISPOSABLES LTD,6211870,Revenue,1KF07,Banqueting Suite,250.80 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,ALLIED HEALTHCARE GROUP,6214137,Revenue,1MG51,Ind Home Per Care Elderly,"66,322.15 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,ALLIED HEALTHCARE GROUP,6214137,Revenue,1MH50,Ind Home Spot Pur PD,"12,743.58 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,ALLIED HEALTHCARE GROUP,6214137,Revenue,1MK51,Ind Home-Per Care LD,"3,367.53 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,15/04/2014,ALLIED HEALTHCARE GROUP,6214137,Revenue,1MM50,Ind Home - Spot Pur MH,"3,002.92 "
HRA,HRA Income                 ,Supplies & Services,11/04/2014,ALLPAY.NET LIMITED,6210823,Revenue,1HCTG,HRA Income - General Team,65.76 
HRA,HRA Income                 ,Supplies & Services,25/04/2014,ALLPAY.NET LIMITED,6209382,Revenue,1HCTG,HRA Income - General Team,42.55 
HRA,HRA Income                 ,Supplies & Services,25/04/2014,ALLPAY.NET LIMITED,6209382,Revenue,1HCTG,HRA Income - General Team,"1,541.84 "
HRA,HRA Income                 ,Third Party Payments,11/04/2014,ALLPAY.NET LIMITED,6210823,Revenue,1HCTG,HRA Income - General Team,302.43 
HRA,HRA Income                 ,Third Party Payments,25/04/2014,ALLPAY.NET LIMITED,6209382,Revenue,1HCTG,HRA Income - General Team,"2,129.63 "
