Newcastle City Council Invoices over �250 paid in January 2014,,,,,,,,,,,,
,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,13 FERGUSONS LANE,6116037,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,14 EIGHTH ROW,6116060,Revenue,1MH20,Ind Res Care PD,"9,800.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,18 SEA VIEW VILLAS,6115986,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00 ",,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,24/01/2014,3RD CHAPEL HOUSE GUIDES,6126887,Revenue,1KN53,Westerhope Ward,860.00 ,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,24/01/2014,82ND NEWCASTLE SCOUT GROUP,6126885,Revenue,1KN22,Fenham Ward,298.31 ,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,21/01/2014,82ND NEWCASTLE SCOUT GROUP,6111565,Revenue,1KN24,Wingrove Ward,332.73 ,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,A SIGNIFICANT OTHER LTD,6114202,Revenue,1MC02,Ind Sector Placements,"2,407.15 ",,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,A WILDERNESS WAY,6114190,Revenue,1MC02,Ind Sector Placements,"14,000.00 ",,,
Children's Services,Childrens Services Support       ,Supplies & Services,03/01/2014,A&B INDUSTRIAL SERVICES N.E. LTD,6106693,Revenue,1MR52,Adults Admin Pool,660.60 ,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/01/2014,A&J KEITH LTD,6120993,Revenue,1KVWC,Minor Works Contracts,353.95 ,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/01/2014,A&J KEITH LTD,6120994,Revenue,1KVWC,Minor Works Contracts,253.34 ,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/01/2014,A&J KEITH LTD,6120996,Revenue,1KVWC,Minor Works Contracts,310.20 ,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,21/01/2014,A&J KEITH LTD,6122872,Revenue,1KVWC,Minor Works Contracts,"1,880.00 ",,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,21/01/2014,A&J KEITH LTD,6122882,Revenue,1KVWC,Minor Works Contracts,"1,410.00 ",,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/01/2014,A&J KEITH LTD,6118360,Revenue,1KVWC,Minor Works Contracts,298.00 ,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,14/01/2014,A&J KEITH LTD,6115419,Revenue,1KBRM,Sub Contractors R & M,"122,875.43 ",,,
Chief Executive's,CD - Business Dev Centres        ,Premises,22/01/2014,A&S LOCKSMITHS,6124066,Revenue,1DE50,i6- Charlotte Square NEC,264.90 ,,,
Environment & Regeneration,NS: Asset Man              ,Premises,07/01/2014,A&S LOCKSMITHS,6108657,Revenue,1DT15,Chillingham Rd Ind Est,270.59 ,,,
Chief Executive's,CD-Communications and Marketing  ,Supplies & Services,16/01/2014,AA GLOBAL LANGUAGES SERVICES LTD,6118992,Revenue,1FT08,Translation Unit,467.00 ,,,
Environment & Regeneration,Outer West Pool            ,Supplies & Services,22/01/2014,AAA CHEMICALS LTD,6124153,Revenue,1KL1C,Outer West Pool,612.30 ,,,
Environment & Regeneration,Cityworks Elswick          ,Supplies & Services,09/01/2014,AAA CHEMICALS LTD,6111438,Revenue,1KL1E,Elswick Pool,332.90 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYFIELD CASTLE FARM,6129166,Revenue,1MG20,Ind Res Care Elderly,-860.31 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYFIELD CASTLE FARM,6129167,Revenue,1MG20,Ind Res Care Elderly,-286.77 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYFIELD CASTLE FARM,6129166,Revenue,1MG20,Ind Res Care Elderly,"4,832.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYFIELD CASTLE FARM,6129167,Revenue,1MG20,Ind Res Care Elderly,946.40 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYFIELD THE GROVE,6129148,Revenue,1MG20,Ind Res Care Elderly,"-1,126.43 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYFIELD THE GROVE,6129149,Revenue,1MG20,Ind Res Care Elderly,-520.12 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYFIELD THE GROVE,6129148,Revenue,1MG20,Ind Res Care Elderly,"7,242.42 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYFIELD THE GROVE,6129149,Revenue,1MG20,Ind Res Care Elderly,946.40 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYMOOR,6129168,Revenue,1MG10,Ind Nursing Care Elderly,-429.81 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYMOOR,6129168,Revenue,1MM10,Ind Nursing Care MH,-236.40 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYMOOR,6129169,Revenue,1MG10,Ind Nursing Care Elderly,-143.27 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABBEYMOOR,6129169,Revenue,1MM10,Ind Nursing Care MH,-78.80 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYMOOR,6129168,Revenue,1MG10,Ind Nursing Care Elderly,"2,596.89 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYMOOR,6129168,Revenue,1MM10,Ind Nursing Care MH,"1,507.92 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYMOOR,6129168,Revenue,1MM20,Ind Res Care MH,"19,571.43 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYMOOR,6129169,Revenue,1MG10,Ind Nursing Care Elderly,865.63 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYMOOR,6129169,Revenue,1MM10,Ind Nursing Care MH,502.64 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABBEYMOOR,6129169,Revenue,1MM20,Ind Res Care MH,"1,000.00 ",,,
Environment & Regeneration,NS: Asset Man              ,Premises,10/01/2014,ABCA SYSTEMS,6090173,Revenue,1MK21,Castle Dene Prev Clayton Road,551.25 ,,,
Environment & Regeneration,NS: Asset Man              ,Premises,07/01/2014,ABEL ALARM COMPANY LTD,6108644,Revenue,1KE27,Bereavement Services Overhead,"1,932.00 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABIGAIL HOUSE,6129170,Revenue,1MG20,Ind Res Care Elderly,"9,333.25 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",28/01/2014,ABIGAIL HOUSE,6129171,Revenue,1MG20,Ind Res Care Elderly,"-2,401.18 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABIGAIL HOUSE,6129170,Revenue,1MG20,Ind Res Care Elderly,"28,400.91 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,28/01/2014,ABIGAIL HOUSE,6129171,Revenue,1MG20,Ind Res Care Elderly,"8,461.44 ",,,
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,03/01/2014,ACCENTURE,6107582,Revenue,1CF00,Payroll,"5,329.50 ",,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",21/01/2014,ACCEPT CARE,6122321,Revenue,1MK54,Dom Care Own Tenancy LD,-290.96 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,ACCEPT CARE,6122321,Revenue,1MK54,Dom Care Own Tenancy LD,"4,906.44 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,ACCEPT CARE,6122321,Revenue,1MK50,Ind Supported Living LD,"1,817.20 ",,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,21/01/2014,ACCESS INDEPENDENT,6122820,Revenue,1V123,Blue Badge Applications,"1,845.00 ",,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,27/01/2014,ACCESS INDEPENDENT,6128673,Revenue,1V123,Blue Badge Applications,"1,489.00 ",,,
Children's Services,Educ School Planning    ,Supplies & Services,16/01/2014,ACHIEVING SUSTAINABLE CHANGE,6118894,Revenue,1MF32,Changing Trax,"2,733.80 ",,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,24/01/2014,ACP,6119618,Revenue,3KES1,Fleetmaster Stores Account,"3,500.00 ",,,
Environment & Regeneration,NS: Resources              ,Supplies & Services,06/01/2014,ACP,6097060,Revenue,1KSCD,External Vehicle Tracking,576.00 ,,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,09/01/2014,ACROL AIR CONDITIONING CO LTD,6111241,Revenue,1KKX1,Civic Centre Direct Costs,"2,521.62 ",,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,17/01/2014,ACTION BUILDING MAINTENANCE LTD,6119581,Revenue,1KBAA,Building Contracts,989.46 ,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,17/01/2014,ACTION BUILDING MAINTENANCE LTD,6119582,Revenue,1KBAA,Building Contracts,936.48 ,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,17/01/2014,ACTION BUILDING MAINTENANCE LTD,6119841,Revenue,1KBAA,Building Contracts,"2,448.68 ",,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,17/01/2014,ACTION BUILDING MAINTENANCE LTD,6119842,Revenue,1KBAA,Building Contracts,"2,358.24 ",,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,ACTION FOR CHILDREN,6114177,Revenue,1MC22,IND Sector Foster Carer Costs,"4,616.00 ",,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,ACTION FOR CHILDREN,6114177,Revenue,1MC22,IND Sector Foster Carer Costs,"6,560.00 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6117878,Revenue,1EEM6,Woodlands Children's Centre,"7,261.00 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6117879,Revenue,1EEK1,Fenham Childrens Centre,"10,116.50 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6117880,Revenue,1EEB1,C&B CC Central Costs,0.00 ,,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6117880,Revenue,1EEK1,Fenham Childrens Centre,"25,276.00 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6117880,Revenue,1EEM6,Woodlands Children's Centre,"19,224.00 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6122444,Revenue,1EEJ7,Newburn Childrens Centre,"5,097.15 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6122444,Revenue,1EEK6,Denton Westerhope Chldrn Cent,"10,194.30 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6122444,Revenue,1EEH1,NBH CC Central Costs,"5,097.15 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,28/01/2014,ACTION FOR CHILDREN,6122444,Revenue,1EEL1,Lemington Childrens Centre,"5,097.15 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,30/01/2014,ACTION FOR CHILDREN,6131706,Revenue,1EEB1,C&B CC Central Costs,"67,000.75 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,30/01/2014,ACTION FOR CHILDREN,6131706,Revenue,1EEK1,Fenham Childrens Centre,"13,011.00 ",,,
Children's Services,Int Childhood Services     ,Third Party Payments,30/01/2014,ACTION FOR CHILDREN,6131706,Revenue,1EEM6,Woodlands Children's Centre,"3,689.50 ",,,
Children's Services,Childrens Services Support       ,Third Party Payments,06/01/2014,ACTION FOR CHILDREN,6108158,Revenue,1MB04,Childrens Standards Unit,"5,960.18 ",,,
Children's Services,Educ School Planning    ,Third Party Payments,15/01/2014,ACTION FOR CHILDREN,6117525,Revenue,1MF12,Adoption Interagency,"1,194.00 ",,,
Children's Services,Play Service               ,Third Party Payments,29/01/2014,ACTION FOR CHILDREN,6132127,Revenue,1EEG1,W River CC Central Costs,"26,964.00 ",,,
Environment & Regeneration,Cityworks Training & Dev    ,Third Party Payments,31/01/2014,ACTION FOR CHILDREN,6134373,Revenue,1EEB1,C&B CC Central Costs,"1,272.00 ",,,
Environment & Regeneration,Cityworks Training & Dev    ,Third Party Payments,31/01/2014,ACTION FOR CHILDREN,6134373,Revenue,1EEK3,Ouseburn Childrens Centre,955.00 ,,,
Environment & Regeneration,Cityworks Training & Dev    ,Third Party Payments,31/01/2014,ACTION FOR CHILDREN,6134373,Revenue,1EEK2,S Heaton Ouseburn Chldrn Cent,955.00 ,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,02/01/2014,ACTIVE CHEMICALS LTD,6106457,Revenue,1KF07,Banqueting Suite,924.50 ,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",14/01/2014,ACTIVE HORIZONS LTD,6116035,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,ACTIVE HORIZONS LTD,6116035,Revenue,1MG20,Ind Res Care Elderly,"1,648.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,14/01/2014,ACTIVE HORIZONS LTD,6116035,Revenue,1MK20,Ind Res Care LD,"1,275.00 ",,,
Children's Services,Childrens Services Support       ,Transfer Payments,06/01/2014,ACTIVE TRAVEL,6108119,Revenue,1E+212,Transport Special,"1,425.00 ",,,
Children's Services,Childrens Services Support       ,Transfer Payments,17/01/2014,ACTIVE TRAVEL,6101978,Revenue,1E+212,Transport Special,"1,530.00 ",,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,09/01/2014,AD MERCHANDISE LTD,6111669,Revenue,1KR01,R & M Trading,590.00 ,,,
Environment & Regeneration,Cityworks Central Off      ,Supplies & Services,08/01/2014,AD MERCHANDISE LTD,6101553,Revenue,1KL0A,Leisure Factility Central O/H,"4,925.00 ",,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,08/01/2014,ADC ELECTRICAL CO LTD(F),6079114,Revenue,1KR8E,Build Surv Team,367.40 ,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,08/01/2014,ADC ELECTRICAL CO LTD(F),6097058,Revenue,1KR8E,Build Surv Team,352.50 ,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,08/01/2014,ADC ELECTRICAL CO LTD(F),6097197,Revenue,1KR8E,Build Surv Team,352.50 ,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,08/01/2014,ADC ELECTRICAL CO LTD(F),6097202,Revenue,1KR8E,Build Surv Team,436.00 ,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,02/01/2014,ADC ELECTRICAL CO LTD(F),6074148,Revenue,1KR8E,Build Surv Team,436.00 ,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,02/01/2014,ADC ELECTRICAL CO LTD(F),6079111,Revenue,1KR8E,Build Surv Team,468.50 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,ADOPTION UK,6111261,Revenue,1MF12,Adoption Interagency,426.75 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,ADOPTION UK,6111262,Revenue,1MF12,Adoption Interagency,445.00 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,ADOPTION UK,6111264,Revenue,1MF12,Adoption Interagency,426.75 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,ADOPTION UK,6111267,Revenue,1MF12,Adoption Interagency,685.13 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,ADOPTION UK,6111269,Revenue,1MF12,Adoption Interagency,435.00 ,,,
Children's Services,Childrens Services Support       ,Third Party Payments,09/01/2014,ADOPTION UK,6111272,Revenue,1MF12,Adoption Interagency,538.88 ,,,
Children's Services,Educ Fossway S/Start       ,Premises,27/01/2014,ADT FIRE & SECURITY,6128545,Revenue,1EEE1,East CC Central Costs,436.80 ,,,
Environment & Regeneration,NS: Asset Man              ,Premises,28/01/2014,ADT FIRE & SECURITY,6130007,Revenue,1VH22,Temporary Accommodation Prem,"1,526.00 ",,,
Environment & Regeneration,NS: Asset Man              ,Premises,28/01/2014,ADT FIRE & SECURITY,6130009,Revenue,1VH22,Temporary Accommodation Prem,640.00 ,,,
Environment & Regeneration,NS: Asset Man              ,Premises,07/01/2014,ADT FIRE & SECURITY,6108668,Revenue,1VH22,Temporary Accommodation Prem,"1,830.00 ",,,
Environment & Regeneration,NS: Asset Man              ,Premises,28/01/2014,ADT FIRE & SECURITY,6130008,Revenue,1VH22,Temporary Accommodation Prem,"1,596.00 ",,,
Environment & Regeneration,CW School Security                     ,Premises,06/01/2014,ADT FIRE & SECURITY,6108055,Revenue,1KJ94,Security Services Delegated,262.80 ,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,ADVANCED CHILDCARE GROUP,6114192,Revenue,1MC02,Ind Sector Placements,"11,340.00 ",,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,ADVANCED CHILDCARE GROUP,6114193,Revenue,1MC02,Ind Sector Placements,"10,000.00 ",,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,ADVANCED CHILDCARE GROUP,6114194,Revenue,1MC12,Section 31A High Care Needs,"11,340.00 ",,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,13/01/2014,ADVANCED CHILDCARE GROUP,6114195,Revenue,1MC02,Ind Sector Placements,"11,340.00 ",,,
HRA,HRA Tenancy Svs            ,Premises,23/01/2014,ADVANCED CLEANING & MAINTENANCE LTD,6125375,Revenue,1HE01,HRA NHD Mngmnt - Citywide,620.00 ,,,
HRA,HRA Tenancy Svs            ,Premises,23/01/2014,ADVANCED CLEANING & MAINTENANCE LTD,6125376,Revenue,1HE01,HRA NHD Mngmnt - Citywide,380.00 ,,,
HRA,HRA Tenancy Svs            ,Premises,14/01/2014,ADVANCED CLEANING & MAINTENANCE LTD,6116238,Revenue,1HE01,HRA NHD Mngmnt - Citywide,"1,044.00 ",,,
Chief Executive's,"CD - Audit, Insurance & Risk NOR       ",Supplies & Services,07/01/2014,AEBI SCHMIDT UK LTD,6109089,Revenue,3RM18,Insurance Control Susp-Financ,"19,640.30 ",,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,03/01/2014,AEBI SCHMIDT UK LTD,6098538,Revenue,3KES1,Fleetmaster Stores Account,199.36 ,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,07/01/2014,AEBI SCHMIDT UK LTD,6109136,Revenue,3KES1,Fleetmaster Stores Account,597.76 ,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,03/01/2014,AEBI SCHMIDT UK LTD,6098538,Revenue,3KES1,Fleetmaster Stores Account,727.55 ,,,
Environment & Regeneration,Highways                               ,Supplies & Services,21/01/2014,AGD SYSTEMS LTD,6122416,Revenue,1KELA,Traffic Sig General O/H,20.00 ,,,
Environment & Regeneration,Highways                               ,Supplies & Services,21/01/2014,AGD SYSTEMS LTD,6122416,Revenue,3KIMF,Highways Stock Account,"7,360.00 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,21/01/2014,AGD SYSTEMS LTD,6122417,Revenue,1KELA,Traffic Sig General O/H,10.00 ,,,
Environment & Regeneration,Highways                               ,Supplies & Services,21/01/2014,AGD SYSTEMS LTD,6122417,Revenue,3KIMF,Highways Stock Account,"3,920.00 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,21/01/2014,AGD SYSTEMS LTD,6122418,Revenue,1KELA,Traffic Sig General O/H,20.00 ,,,
Environment & Regeneration,Highways                               ,Supplies & Services,21/01/2014,AGD SYSTEMS LTD,6122418,Revenue,3KIMF,Highways Stock Account,"3,040.00 ",,,
Environment & Regeneration,Highways                               ,Supplies & Services,09/01/2014,AGD SYSTEMS LTD,6111056,Revenue,3KIMF,Highways Stock Account,"16,170.00 ",,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/01/2014,AGE UK NEWCASTLE,6109062,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 ",,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/01/2014,AGE UK NEWCASTLE,6109068,Revenue,1MH50,Ind Home Spot Pur PD,"1,369.20 ",,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/01/2014,AGE UK NEWCASTLE,6109069,Revenue,1MH50,Ind Home Spot Pur PD,"1,780.00 ",,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/01/2014,AGE UK NEWCASTLE,6124889,Revenue,1MH50,Ind Home Spot Pur PD,"1,859.86 ",,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,31/01/2014,AGE UK NEWCASTLE,6133829,Revenue,1MH50,Ind Home Spot Pur PD,"6,372.49 ",,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,23/01/2014,AGE UK NEWCASTLE,6125071,Revenue,1MG60,Ind Day Care Elderly,"20,811.84 ",,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,23/01/2014,AGE UK NEWCASTLE,6125071,Revenue,1MG88,Get Up And Go Older People,"3,076.92 ",,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,23/01/2014,AGE UK NEWCASTLE,6125071,Revenue,1FA23,Support To Elders Council,"10,048.36 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122304,Revenue,1MG50,Ind Home Spot Pur Elderly,"1,879.15 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122304,Revenue,1MH50,Ind Home Spot Pur PD,"10,596.40 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122304,Revenue,1MM50,Ind Home - Spot Pur MH,165.20 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122361,Revenue,1MG51,Ind Home Per Care Elderly,"46,220.86 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122361,Revenue,1MH51,Ind Home Per Care PD,"5,214.47 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122361,Revenue,1MK51,Ind Home-Per Care LD,469.30 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122361,Revenue,1MM51,Ind Home-Per Care MH,"1,221.00 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122361,Revenue,3WH96,Continuing Care-Dom Payments,857.14 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122304,Revenue,1MM50,Ind Home - Spot Pur MH,47.20 ,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122361,Revenue,1MG51,Ind Home Per Care Elderly,"10,372.20 ",,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,21/01/2014,AGE UK NEWCASTLE,6122361,Revenue,1MH51,Ind Home Per Care PD,"1,413.50 ",,,
Children's Services,Invoice,Third Party Payments,24/01/2014,AGE UK NEWCASTLE,6122561,Revenue,1MG55,Extra Care Housing,"24,034.50 ",,,
Chief Executive's,CD-Communications and Marketing  ,Supplies & Services,16/01/2014,AIMEDIACOMMS,6118414,Revenue,1FT04,Communications And Marketing,"3,750.00 ",,,
Environment & Regeneration,NS: Asset Man              ,Premises,15/01/2014,AIR TECHNIQUE,6117791,Revenue,1KL2B,Eldon Leisure,"1,535.00 ",,,
Environment & Regeneration,NS: Asset Man              ,Premises,15/01/2014,AIR TECHNIQUE,6117792,Revenue,1KL1D,East End Pool,"1,095.00 ",,,
Environment & Regeneration,NS: Asset Man              ,Premises,15/01/2014,AIR TECHNIQUE,6117793,Revenue,1KL2D,Walker Activity Dome,862.00 ,,,
