Newcastle City Council Invoices over �250 paid in September 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,93 WINGROVE ROAD,6367675,Revenue,1MK34,Shared Lives - Adult LD,"1,540.00",
Environment & Regeneration,Cityworks City Hall         ,Supplies & Services,30/09/2014,A E G LIVE UK LTD,6372516,Revenue,3KLCH,City Hall Holding Account,"31,799.23",
Children's Services,St Albans RC Primary School            ,Premises,22/09/2014,A MCGANN BUILDING CONTRACTORS LTD,6366534,Revenue,1E+77,St. Albans R.C. Primary,"1,653.20",
Children's Services,Schools Payment Agency                 ,Premises,16/09/2014,A S MECHANICAL BUILDING SERVICES LTD,6352528,Revenue,1E+164,Trinity,"1,496.66",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,01/09/2014,A&J KEITH LTD,6344627,Revenue,1KVWC,Minor Works Contracts,"3,760.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,02/09/2014,A&J KEITH LTD,6345841,Revenue,1KVWC,Minor Works Contracts,509.80,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,05/09/2014,A&J KEITH LTD,6352292,Revenue,1KVWC,Minor Works Contracts,"4,298.37",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366411,Revenue,1KVWC,Minor Works Contracts,"2,775.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366414,Revenue,1KVWC,Minor Works Contracts,"2,380.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366415,Revenue,1KVWC,Minor Works Contracts,"1,965.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366416,Revenue,1KVWC,Minor Works Contracts,"3,722.15",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366418,Revenue,1KVWC,Minor Works Contracts,"2,020.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366420,Revenue,1KVWC,Minor Works Contracts,"2,020.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366422,Revenue,1KVWC,Minor Works Contracts,"2,020.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366424,Revenue,1KVWC,Minor Works Contracts,"2,020.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366425,Revenue,1KVWC,Minor Works Contracts,"1,925.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366427,Revenue,1KVWC,Minor Works Contracts,"2,020.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366428,Revenue,1KVWC,Minor Works Contracts,"2,020.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366430,Revenue,1KVWC,Minor Works Contracts,"1,920.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366432,Revenue,1KVWC,Minor Works Contracts,"1,820.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366433,Revenue,1KVWC,Minor Works Contracts,"1,920.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,22/09/2014,A&J KEITH LTD,6366434,Revenue,1KVWC,Minor Works Contracts,"1,990.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/09/2014,A&J KEITH LTD,6370165,Revenue,1KVWC,Minor Works Contracts,"2,688.00",
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,10/09/2014,A&J KEITH LTD,6357206,Revenue,1KBRM,Sub Contractors R & M,"92,412.28",
Children's Services,Schools Payment Agency                 ,Premises,23/09/2014,A&S LOCKSMITHS,6367516,Revenue,1E+52,Moorside Primary,"1,957.75",
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,26/09/2014,A&S LOCKSMITHS,6366515,Revenue,1KL60,Parks - Premises Costs,936.00,
Children's Services,Schools Payment Agency                 ,Premises,09/09/2014,A3 MACHINES,6354399,Revenue,1E+20,Beech Hill Primary,"1,170.00",
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,10/09/2014,A5NRA,6356829,Revenue,1KN41,East Gosforth Ward,400.00,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,30/09/2014,AAA CHEMICALS LTD,6357474,Revenue,1KKX1,Civic Centre Direct Costs,353.70,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,30/09/2014,AAA CHEMICALS LTD,6357474,Revenue,1KKX1,Civic Centre Direct Costs,15.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,ABBEYFIELD CASTLE FARM,6355025,Revenue,1MG20,Ind Res Care Elderly,-495.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,ABBEYFIELD CASTLE FARM,6355025,Revenue,1MG20,Ind Res Care Elderly,"1,969.28",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,ABBEYFIELD THE GROVE,6355016,Revenue,1MG20,Ind Res Care Elderly,"-1,631.78",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,ABBEYFIELD THE GROVE,6355016,Revenue,1MG20,Ind Res Care Elderly,"1,969.28",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,ABBEYMOOR,6355026,Revenue,1MM10,Ind Nursing Care MH,-397.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,ABBEYMOOR,6355026,Revenue,1MG10,Ind Nursing Care Elderly,741.97,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,ABBEYMOOR,6355026,Revenue,1MM10,Ind Nursing Care MH,"2,010.56",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,ABBEYMOOR,6355026,Revenue,1MM20,Ind Res Care MH,"4,000.00",
Children's Services,Mountfield Primary School              ,Supplies & Services,18/09/2014,ABC PROJECT,6364184,Revenue,1E+53,Mountfield Primary,949.00,
Children's Services,North Fawdon Primary School            ,Premises,29/09/2014,ABEL ALARM COMPANY LTD,6371171,Revenue,1E+54,North Fawdon Primary,"10,917.00",
Children's Services,Wyndham Primary School                 ,Premises,29/09/2014,ABEL ALARM COMPANY LTD,6370935,Revenue,1E+72,Wyndham Primary,417.00,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",09/09/2014,ABIGAIL HOUSE,6355027,Revenue,1MG20,Ind Res Care Elderly,"-12,422.49",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,ABIGAIL HOUSE,6355027,Revenue,1MG20,Ind Res Care Elderly,"43,904.99",
Children's Services,Schools Payment Agency                 ,Supplies & Services,02/09/2014,ACADEMICS,6345731,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,02/09/2014,ACADEMICS,6345732,Revenue,1E756,Oakfield Solutions(LSC),620.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,02/09/2014,ACADEMICS,6345736,Revenue,1E756,Oakfield Solutions(LSC),620.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,02/09/2014,ACADEMICS,6345737,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,ACADEMICS,6352276,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,ACADEMICS,6352278,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,ACADEMICS,6352296,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,ACADEMICS,6352298,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,ACADEMICS,6352302,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,05/09/2014,ACADEMICS,6352303,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,19/09/2014,ACADEMICS,6364891,Revenue,1E756,Oakfield Solutions(LSC),800.00,
Children's Services,Schools Payment Agency                 ,Supplies & Services,19/09/2014,ACADEMICS,6364892,Revenue,1E756,Oakfield Solutions(LSC),640.00,
Children's Services,Heaton Manor High School               ,Supplies & Services,03/09/2014,ACADEMICS,6349939,Revenue,1E+135,Heaton Manor Comprehensive,590.76,
Children's Services,Cragside Primary School                ,Supplies & Services,17/09/2014,ACADEMY LEASING LTD,6362255,Revenue,1E+42,Cragside Primary,450.00,
Chief Executive's,CD - Markets                     ,Employees,15/09/2014,ACAS,6360374,Revenue,1DR03,Grainger Market,835.00,
Chief Executive's,CD - IT Mgmt & Networks          ,Supplies & Services,05/09/2014,ACCEPTUS IT LTD,6344995,Revenue,1CM00,IT Management & Admin,"1,870.00",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,09/09/2014,ACCOUNTABILITY,6355382,Revenue,1MH40,Direct Payments PD,"2,782.00",
Environment & Regeneration,E&R Fairer Housing            ,Supplies & Services,19/09/2014,ACOM PROPERTIES,6364178,Revenue,1VH08,Rent Deposit Fund,"1,040.00",
Chief Executive's,CD - Support Services            ,Supplies & Services,16/09/2014,ACP,6344473,Revenue,1KSCD,External Vehicle Tracking,"4,779.80",
Environment & Regeneration,NS: Asset Man              ,Premises,19/09/2014,ACROL AIR CONDITIONING CO LTD,6365572,Revenue,1KKX1,Civic Centre Direct Costs,523.36,
Environment & Regeneration,NS: Asset Man              ,Premises,22/09/2014,ACROL AIR CONDITIONING CO LTD,6366505,Revenue,1KKX1,Civic Centre Direct Costs,337.09,
Children's Services,Schools Payment Agency                 ,Supplies & Services,12/09/2014,ACS LTD,6359694,Revenue,1E+52,Moorside Primary,"1,128.80",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,22/09/2014,ACTION FOR CHILDREN,6366487,Revenue,1MD72,Troubled Families Funding,"6,457.36",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,23/09/2014,ACTION FOR CHILDREN,6367365,Revenue,1MC22,IND Sector Foster Carer Costs,"14,456.00",
Children's Services,Educ School Planning    ,Third Party Payments,02/09/2014,ACTION FOR CHILDREN,6347277,Revenue,1MF10,Adoption Payments,"1,194.00",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",23/09/2014,ACTIVE HORIZONS LTD,6367644,Revenue,1MK20,Ind Res Care LD,"-1,773.21",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,23/09/2014,ACTIVE HORIZONS LTD,6367644,Revenue,1MK20,Ind Res Care LD,"7,589.29",
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,11/09/2014,ADARE LTD,6358251,Revenue,1FK03,Municipal Elections,"1,558.15",
Adult and Culture,Adult Serv Finance         ,Employees,03/09/2014,ADASS TREASURY,6148272,Revenue,1MA01,Director of Wellbeing Care & L,495.00,
Environment & Regeneration,NS: District Heating       ,Premises,10/09/2014,ADC ELECTRICAL CO LTD(F),6351317,Revenue,1KR05,District Heating,421.89,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,10/09/2014,ADC ELECTRICAL CO LTD(F),6351276,Revenue,1KR05,District Heating,335.61,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,10/09/2014,ADC ELECTRICAL CO LTD(F),6351310,Revenue,1KR05,District Heating,325.00,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,11/09/2014,ADC ELECTRICAL CO LTD(F),6357596,Revenue,1KR05,District Heating,298.88,
Children's Services,Newburn Manor First School             ,Premises,08/09/2014,ADRIAN SANDER FURNITURE DESIGN,6353710,Revenue,1E+286,Newburn Manor Nursery,650.00,
Children's Services,Newburn Manor First School             ,Premises,09/09/2014,ADRIAN SANDER FURNITURE DESIGN,6353979,Revenue,1E+286,Newburn Manor Nursery,300.00,
Children's Services,Newburn Manor First School             ,Premises,19/09/2014,ADRIAN SANDER FURNITURE DESIGN,6363512,Revenue,1E+286,Newburn Manor Nursery,350.00,
Children's Services,Educ Fossway S/Start       ,Premises,16/09/2014,ADT FIRE & SECURITY,6341004,Revenue,1EEE1,East CC Central Costs,252.86,
Children's Services,Schools Payment Agency                 ,Premises,29/09/2014,ADT FIRE & SECURITY,6371828,Revenue,1E+75,Our Lady & St. Annes R.C. Prmy,"3,272.79",
Children's Services,Thomas Bewick Special School           ,Premises,16/09/2014,ADT FIRE & SECURITY,6351312,Revenue,1E+163,Thomas Bewick,289.80,
Children's Services,Waverley First School                  ,Premises,15/09/2014,ADT FIRE & SECURITY,6360458,Revenue,1E+28,Waverley Primary,295.16,
Children's Services,St Michaels RC Primary School          ,Premises,16/09/2014,ADT FIRE & SECURITY,6355683,Revenue,1E+91,St. Michaels R.C. Primary,398.47,
Environment & Regeneration,NS: Asset Man              ,Premises,26/09/2014,ADT FIRE & SECURITY,6365338,Revenue,1EEK6,Denton Westerhope Chldrn Cent,608.65,
Environment & Regeneration,CW School Security                     ,Premises,16/09/2014,ADT FIRE & SECURITY,6357463,Revenue,1KJ94,Security Services Delegated,"1,048.90",
Chief Executive's,CD - Accountancy                 ,Supplies & Services,09/09/2014,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6354056,Revenue,1RB16,Transformation Costs,625.91,
Chief Executive's,CD - Accountancy                 ,Supplies & Services,09/09/2014,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6354634,Revenue,1FF51,Finance,"9,350.00",
Chief Executive's,CD - Accountancy                 ,Supplies & Services,10/09/2014,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6356919,Revenue,1CF00,Payroll,425.00,
Chief Executive's,CD - Accountancy                 ,Supplies & Services,15/09/2014,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6354039,Revenue,1RB16,Transformation Costs,411.52,
Chief Executive's,CD - Accountancy                 ,Supplies & Services,24/09/2014,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,6354437,Revenue,1FF51,Finance,"2,550.00",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,23/09/2014,ADVANCED CHILDCARE GROUP,6367380,Revenue,1MC02,Ind Sector Placements,"12,540.00",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,23/09/2014,ADVANCED CHILDCARE GROUP,6367381,Revenue,1MC02,Ind Sector Placements,"5,520.00",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,23/09/2014,ADVANCED CHILDCARE GROUP,6367382,Revenue,1MC12,Section 31A High Care Needs,"12,540.00",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,23/09/2014,ADVANCED CHILDCARE GROUP,6367383,Revenue,1MC02,Ind Sector Placements,"12,000.00",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,23/09/2014,ADVANCED CHILDCARE GROUP,6367384,Revenue,1MC02,Ind Sector Placements,"12,540.00",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,26/09/2014,ADVANCED CLEANING & MAINTENANCE LTD,6370255,Revenue,1MM50,Ind Home - Spot Pur MH,"2,770.00",
Adult and Culture,Adult Serv Phys Disab      ,Third Party Payments,25/09/2014,ADVANCED CLEANING & MAINTENANCE LTD,6361601,Revenue,1MH50,Ind Home Spot Pur PD,"1,695.00",
HRA,HRA Kenton CSC             ,Premises,09/09/2014,ADVANCED CLEANING & MAINTENANCE LTD,6355610,Revenue,1HE01,HRA NHD Mngmnt - Citywide,"1,205.00",
HRA,HRA Anti-Soc               ,Premises,15/09/2014,ADVANCED CLEANING & MAINTENANCE LTD,6360586,Revenue,1HE01,HRA NHD Mngmnt - Citywide,570.00,
Chief Executive's,CD - Legal Services              ,Supplies & Services,25/09/2014,ADVANCED LEGAL LTD,6363261,Revenue,1FA51,Coroner,"1,050.00",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,10/09/2014,ADVANCED RADIATORS LTD,6346687,Revenue,1KESA,Heavy Workshop Routine Repair,290.00,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,18/09/2014,ADVANCED RADIATORS LTD,6347165,Revenue,1KESA,Heavy Workshop Routine Repair,254.56,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,18/09/2014,ADVANCED RADIATORS LTD,6347166,Revenue,1KESA,Heavy Workshop Routine Repair,254.56,
Environment & Regeneration,NS: District Heating       ,Premises,26/09/2014,ADVANCED WATER TECHNOLOGIES,6355787,Revenue,1KR05,District Heating,"1,365.00",
Environment & Regeneration,Fleet Management System                ,Supplies & Services,03/09/2014,AEBI SCHMIDT UK LTD,6349613,Revenue,1KESJ,Hort Workshops Routine Repair,920.46,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,05/09/2014,AEBI SCHMIDT UK LTD,6347312,Revenue,3KES1,Fleetmaster Stores Account,562.55,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,24/09/2014,AEBI SCHMIDT UK LTD,6362058,Revenue,3KES1,Fleetmaster Stores Account,420.74,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,29/09/2014,AEBI SCHMIDT UK LTD,6364405,Revenue,3KES1,Fleetmaster Stores Account,316.07,
Environment & Regeneration,E&R - Technical Consultancy    ,Capital Expenditure,25/09/2014,AECOM,6362241,Capital,2N401,Capital General,"2,452.16",
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,02/09/2014,AECOM,6348155,Revenue,1V046,Freight Partnership,"8,535.00",
Environment & Regeneration,Highways                               ,Supplies & Services,02/09/2014,AGD SYSTEMS LTD,6348269,Revenue,1KELA,Traffic Sig General O/H,664.00,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/09/2014,AGE UK NEWCASTLE,6345424,Revenue,1MH50,Ind Home Spot Pur PD,"6,321.14",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/09/2014,AGE UK NEWCASTLE,6345425,Revenue,1MH50,Ind Home Spot Pur PD,"6,937.28",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/09/2014,AGE UK NEWCASTLE,6345426,Revenue,1MH50,Ind Home Spot Pur PD,"1,780.08",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/09/2014,AGE UK NEWCASTLE,6345434,Revenue,1MH50,Ind Home Spot Pur PD,273.84,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/09/2014,AGE UK NEWCASTLE,6345538,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/09/2014,AGE UK NEWCASTLE,6345540,Revenue,1MH50,Ind Home Spot Pur PD,"1,369.20",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/09/2014,AGE UK NEWCASTLE,6346224,Revenue,1MH50,Ind Home Spot Pur PD,"1,665.88",
Adult and Culture,Social Services                        ,Third Party Payments,05/09/2014,AGE UK NEWCASTLE,6351319,Revenue,1MG55,Extra Care Housing,"21,469.88",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,04/09/2014,AGE UK NEWCASTLE,6351159,Revenue,1MG60,Ind Day Care Elderly,"20,698.16",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,04/09/2014,AGE UK NEWCASTLE,6351159,Revenue,1MG88,Get Up And Go Older People,"3,209.08",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,04/09/2014,AGE UK NEWCASTLE,6351159,Revenue,1FA23,Support To Elders Council,"10,480.12",
Adult and Culture,Social Services-Care Support           ,Supplies & Services,22/09/2014,AGE UK NEWCASTLE,6366452,Revenue,1MG91,Grants To Vol Orgs Elderly,"5,013.19",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,AGE UK NEWCASTLE,6347419,Revenue,1MG50,Ind Home Spot Pur Elderly,"2,035.36",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,AGE UK NEWCASTLE,6347419,Revenue,1MH50,Ind Home Spot Pur PD,"7,811.60",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,AGE UK NEWCASTLE,6347419,Revenue,1MM50,Ind Home - Spot Pur MH,47.20,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,AGE UK NEWCASTLE,6347471,Revenue,1MG51,Ind Home Per Care Elderly,"49,466.89",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,AGE UK NEWCASTLE,6347471,Revenue,1MH50,Ind Home Spot Pur PD,"4,658.37",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,AGE UK NEWCASTLE,6347471,Revenue,1MK51,Ind Home-Per Care LD,739.48,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,02/09/2014,AGE UK NEWCASTLE,6347471,Revenue,1MM50,Ind Home - Spot Pur MH,"1,431.68",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373284,Revenue,1MG51,Ind Home Per Care Elderly,"49,271.92",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373284,Revenue,1MH50,Ind Home Spot Pur PD,"4,656.88",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373284,Revenue,1MK51,Ind Home-Per Care LD,722.80,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373284,Revenue,1MM50,Ind Home - Spot Pur MH,"1,213.06",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373292,Revenue,1MH50,Ind Home Spot Pur PD,"6,321.14",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373293,Revenue,1MH50,Ind Home Spot Pur PD,"1,369.20",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373294,Revenue,1MH50,Ind Home Spot Pur PD,"1,665.88",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373295,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373296,Revenue,1MH50,Ind Home Spot Pur PD,"6,937.28",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373297,Revenue,1MH50,Ind Home Spot Pur PD,"1,780.08",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373377,Revenue,1MG50,Ind Home Spot Pur Elderly,"1,250.80",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373377,Revenue,1MH50,Ind Home Spot Pur PD,"7,304.20",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,30/09/2014,AGE UK NEWCASTLE,6373377,Revenue,1MM50,Ind Home - Spot Pur MH,47.20,
Chief Executive's,CD - Treasury Mgmt Payments NOR        ,Third Party Payments,23/09/2014,AGE UK NEWCASTLE,6368931,Revenue,1RB48,Other Corporate Items,"40,000.00",
HRA,HRA Property Maint         ,Premises,22/09/2014,AGGREKO UK LTD,6366808,Revenue,1HAR5,R&M Contract R5,"2,165.88",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,29/09/2014,AIKEN FLOORING CONTRACTS LTD,6371989,Revenue,1KVWC,Minor Works Contracts,"13,000.00",
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/09/2014,AIR TECHNIQUE,6367936,Revenue,1KVEM,Mechanical Stand Alone Works,"2,264.00",
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,23/09/2014,AK CHILDCARE LTD,6367385,Revenue,1MC02,Ind Sector Placements,"11,200.00",
